# data extracted manually from
# Engle et al. 2014, ApJ, 794, 80
# https://ui.adsabs.harvard.edu/abs/2014ApJ...794...80E
         HJD     phase       B-V       err
2454437.5941   -0.2360    0.8588    0.0062
2454439.5928    0.1365    0.5839    0.0104
2454440.5857    0.3215    0.7411    0.0058
2454447.5793   -0.3752    0.8752    0.0035
2454449.5797   -0.0024    0.4522    0.0270
2454450.5797    0.1839    0.6358    0.0064
2454452.6001   -0.4396    0.8575    0.0028
2454454.5901   -0.0687    0.5130    0.0192
2454458.6294   -0.3160    0.8739    0.0075
2454459.6007   -0.1350    0.6829    0.0087
2454460.6011    0.0514    0.4928    0.0098
2454465.5855   -0.0197    0.4432    0.0161
2454466.5860    0.1667    0.6152    0.0090
2454623.9114    0.4845    0.8290    0.0102
2454624.9072   -0.3299    0.8948    0.0110
2454625.9095   -0.1431    0.6995    0.0203
2454626.9006    0.0416    0.4855    0.1044
2454628.8953    0.4133    0.7961    0.0272
2454630.8915   -0.2147    0.8435    0.0091
2454631.8926   -0.0282    0.4578    0.0472
2454634.8825   -0.4710    0.8499    0.0103
2454636.8753   -0.0996    0.5974    0.0164
2454637.9465    0.1000    0.5456    0.0281
2454638.8720    0.2724    0.6989    0.0339
2454640.8688   -0.3554    0.8617    0.0228
2455098.6395   -0.0493    0.4703    0.0115
2455098.8060   -0.0182    0.4468    0.0147
2455099.6795    0.1445    0.5873    0.0251
2455099.8097    0.1688    0.6079    0.0111
2455100.6796    0.3309    0.7481    0.0099
2455100.8049    0.3543    0.7592    0.0064
2455101.8008   -0.4602    0.8436    0.0056
2455102.6696   -0.2983    0.8748    0.0098
2455102.7986   -0.2742    0.8799    0.0044
2455106.7863    0.4689    0.8225    0.0090
2455131.7558    0.1220    0.5682    0.0131
2455133.7726    0.4978    0.8312    0.0087
2455134.7810   -0.3143    0.8879    0.0103
2455135.7810   -0.1279    0.6597    0.0042
2455136.7801    0.0583    0.5041    0.0139
2455143.7566    0.3584    0.7666    0.0068
2455144.7438   -0.4577    0.8490    0.0032
2455145.7523   -0.2697    0.8749    0.0049
2455146.7366   -0.0863    0.5586    0.0177
2455151.7214   -0.1574    0.7403    0.0095
2455468.8624   -0.0577    0.4836    0.0086
2455469.8523    0.1267    0.5750    0.0101
2455470.8495    0.3126    0.7337    0.0107
2455471.8477    0.4986    0.8203    0.0075
2455476.8328    0.4276    0.7966    0.0079
2455477.8317   -0.3863    0.8640    0.0050
2455478.8277   -0.2007    0.8274    0.0043
2455479.8259   -0.0147    0.4438    0.0124
2455480.8223    0.1710    0.6115    0.0154
2455481.8205    0.3570    0.7636    0.0049
2455482.8166   -0.4574    0.8388    0.0063
2455488.8034   -0.3417    0.8781    0.0051
2455492.8070    0.4044    0.7843    0.0097
2455493.7960   -0.4113    0.8642    0.0054
2455495.7963   -0.0386    0.4529    0.0059
2455498.7913   -0.4804    0.8403    0.0063
2455499.7860   -0.2951    0.8810    0.0075
2455501.7758    0.0757    0.5080    0.0131
2455502.7735    0.2616    0.6962    0.0085
2455503.7703    0.4474    0.8109    0.0073
2455504.7676   -0.3668    0.8764    0.0087
2455506.7642    0.0053    0.4493    0.0161
2455508.7575    0.3768    0.7787    0.0063
2455510.7522   -0.2515    0.8726    0.0042
2455511.7498   -0.0656    0.5041    0.0247
2455512.7462    0.1201    0.5566    0.0100
2455513.7465    0.3065    0.7305    0.0070
2455515.7438   -0.3213    0.8734    0.0084
2455516.7381   -0.1360    0.6895    0.0087
2455532.6061   -0.1790    0.7854    0.0039
2455532.6852   -0.1643    0.7549    0.0081
2455533.5939    0.0051    0.4426    0.0056
2455862.6717    0.3291    0.7361    0.0058
2455865.6112   -0.1231    0.6473    0.0085
2455866.5962    0.0605    0.4819    0.0056
2455867.5954    0.2467    0.6749    0.0078
2455868.5950    0.4330    0.8013    0.0030
2455881.5651   -0.1500    0.7125    0.0035
2455881.5799   -0.1473    0.7114    0.0043
2455881.5947   -0.1445    0.7006    0.0052
2455881.6096   -0.1417    0.6987    0.0069
2455881.6245   -0.1390    0.6893    0.0044
2455881.6394   -0.1362    0.6861    0.0073
2455881.6541   -0.1335    0.6806    0.0058
2455881.6687   -0.1307    0.6726    0.0056
2455881.6833   -0.1280    0.6657    0.0087
2455881.6980   -0.1253    0.6482    0.0061
2455881.7127   -0.1225    0.6463    0.0061
2455881.7273   -0.1198    0.6407    0.0066
2455882.7386    0.0686    0.5016    0.0065
2455888.7208    0.1834    0.6285    0.0045
2455892.6968   -0.0756    0.5418    0.0128
2455893.7073    0.1127    0.5509    0.0072
2455900.6874    0.4134    0.7927    0.0068
2455911.6609    0.4584    0.8116    0.0054
2455912.6202   -0.3629    0.8832    0.0077
2455919.5648   -0.0687    0.5022    0.0125
2455919.5805   -0.0658    0.5072    0.0098
2455919.5946   -0.0632    0.4904    0.0152
2455919.6067   -0.0609    0.4928    0.0126
2455919.6214   -0.0582    0.4911    0.0056
2455922.6359   -0.4964    0.8262    0.0065
2455926.6211    0.2462    0.6892    0.0083
2455927.6223    0.4328    0.8152    0.0090
2455931.6090    0.1757    0.6286    0.0046
