# data extracted manually from
# Engle et al. 2014, ApJ, 794, 80
# https://ui.adsabs.harvard.edu/abs/2014ApJ...794...80E
         HJD     phase       R-I       err
2454623.9118    0.4846    0.4449    0.0182
2454624.9076   -0.3298    0.4568    0.0213
2454625.9099   -0.1431    0.3999    0.0298
2454626.9010    0.0416    0.3114    0.1183
2454628.8957    0.4134    0.4223    0.0388
2454630.8919   -0.2147    0.4471    0.0157
2454631.8930   -0.0281    0.3017    0.0322
2454634.8829   -0.4709    0.4573    0.0132
2454636.8757   -0.0996    0.3449    0.0187
2454637.9469    0.1001    0.3425    0.0154
2454638.8724    0.2725    0.4029    0.0381
2454640.8667   -0.3558    0.4639    0.0394
2455098.6399   -0.0492    0.3083    0.0179
2455098.8064   -0.0182    0.2922    0.0067
2455099.6799    0.1446    0.3626    0.0325
2455099.8101    0.1689    0.3659    0.0079
2455100.6800    0.3310    0.4048    0.0113
2455100.8052    0.3543    0.4187    0.0084
2455101.8012   -0.4601    0.4423    0.0075
2455102.6713   -0.2979    0.4458    0.0148
2455102.7989   -0.2742    0.4518    0.0037
2455106.7867    0.4690    0.4382    0.0095
2455131.7562    0.1221    0.3430    0.0087
2455133.7730    0.4979    0.4465    0.0096
2455134.7813   -0.3142    0.4600    0.0121
2455135.7814   -0.1278    0.3802    0.0063
2455136.7805    0.0584    0.3161    0.0164
2455143.7570    0.3584    0.4198    0.0095
2455144.7442   -0.4576    0.4436    0.0044
2455145.7527   -0.2697    0.4529    0.0047
2455146.7370   -0.0862    0.3376    0.0091
2455151.7217   -0.1573    0.4094    0.0075
2455468.8628   -0.0577    0.3048    0.0098
2455469.8527    0.1268    0.3427    0.0078
2455470.8499    0.3126    0.4063    0.0100
2455471.8481    0.4987    0.4364    0.0092
2455476.8331    0.4276    0.4323    0.0127
2455477.8320   -0.3862    0.4547    0.0083
2455478.8281   -0.2006    0.4406    0.0048
2455479.8263   -0.0146    0.2867    0.0101
2455480.8227    0.1711    0.3588    0.0147
2455481.8209    0.3571    0.4168    0.0099
2455482.8170   -0.4573    0.4427    0.0055
2455488.8025   -0.3419    0.4536    0.0050
2455492.8074    0.4044    0.4269    0.0051
2455493.7964   -0.4113    0.4506    0.0078
2455495.7967   -0.0385    0.2863    0.0159
2455498.7916   -0.4804    0.4434    0.0021
2455499.7864   -0.2950    0.4483    0.0096
2455501.7761    0.0758    0.3168    0.0154
2455502.7739    0.2617    0.3878    0.0057
2455503.7707    0.4475    0.4345    0.0047
2455504.7679   -0.3667    0.4492    0.0054
2455506.7633    0.0051    0.2903    0.0178
2455508.7579    0.3768    0.4182    0.0051
2455510.7526   -0.2514    0.4505    0.0052
2455511.7502   -0.0655    0.3113    0.0094
2455512.7466    0.1201    0.3422    0.0100
2455513.7469    0.3065    0.4056    0.0047
2455515.7442   -0.3213    0.4594    0.0066
2455516.7384   -0.1360    0.3856    0.0085
2455532.6065   -0.1789    0.4245    0.0019
2455532.6856   -0.1642    0.4113    0.0024
2455533.5943    0.0051    0.2939    0.0052
2455862.6720    0.3292    0.4151    0.0039
2455865.6114   -0.1230    0.3780    0.0073
2455866.5964    0.0605    0.3171    0.0048
2455867.5957    0.2467    0.3860    0.0058
2455868.5952    0.4330    0.4313    0.0053
2455881.5653   -0.1500    0.4069    0.0046
2455881.5802   -0.1472    0.4031    0.0031
2455881.5950   -0.1445    0.3968    0.0064
2455881.6099   -0.1417    0.3948    0.0038
2455881.6248   -0.1389    0.3922    0.0049
2455881.6397   -0.1361    0.3914    0.0066
2455881.6543   -0.1334    0.3871    0.0052
2455881.6689   -0.1307    0.3864    0.0047
2455881.6835   -0.1280    0.3776    0.0049
2455881.6982   -0.1252    0.3733    0.0042
2455881.7129   -0.1225    0.3776    0.0074
2455881.7276   -0.1198    0.3727    0.0050
2455882.7389    0.0687    0.3096    0.0122
2455888.7210    0.1835    0.3609    0.0049
2455892.6971   -0.0756    0.3329    0.0099
2455893.7075    0.1127    0.3441    0.0047
2455900.6877    0.4135    0.4316    0.0063
2455911.6611    0.4584    0.4278    0.0082
2455912.6204   -0.3628    0.4601    0.0050
2455919.5650   -0.0687    0.3246    0.0104
2455919.5796   -0.0660    0.3160    0.0112
2455919.5948   -0.0632    0.3128    0.0101
2455919.6070   -0.0609    0.3162    0.0140
2455919.6217   -0.0581    0.2988    0.0087
2455922.6361   -0.4964    0.4338    0.0039
2455926.6214    0.2463    0.3917    0.0088
2455927.6225    0.4328    0.4227    0.0108
2455931.6092    0.1757    0.3588    0.0071
