# data extracted manually from
# Engle et al. 2014, ApJ, 794, 80
# https://ui.adsabs.harvard.edu/abs/2014ApJ...794...80E
         HJD     phase       U-B       err
2454437.5926   -0.2362    0.6518    0.0060
2454439.5941    0.1367    0.3887    0.0216
2454440.5856    0.3215    0.5173    0.0081
2454447.5806   -0.3750    0.6512    0.0043
2454449.5795   -0.0025    0.3408    0.0429
2454450.5795    0.1839    0.4299    0.0150
2454452.6000   -0.4396    0.6393    0.0033
2454454.5914   -0.0685    0.3344    0.0223
2454458.6293   -0.3160    0.6698    0.0066
2454459.6005   -0.1350    0.4212    0.0188
2454460.6010    0.0514    0.3427    0.0241
2454465.5854   -0.0197    0.3114    0.0393
2454466.5858    0.1667    0.4135    0.0243
2454623.9125    0.4847    0.5818    0.0075
2454624.9096   -0.3295    0.6965    0.0045
2454625.9119   -0.1427    0.4678    0.0181
2454626.9005    0.0415    0.3168    0.1136
2454628.8952    0.4133    0.5968    0.0100
2454630.8914   -0.2147    0.6220    0.0067
2454631.8925   -0.0282    0.3129    0.0547
2454634.8837   -0.4708    0.6428    0.0085
2454636.8752   -0.0997    0.3607    0.0195
2454637.9464    0.1000    0.3873    0.0198
2454638.8719    0.2724    0.4832    0.0229
2454640.8712   -0.3550    0.6568    0.0127
2455098.6394   -0.0493    0.3202    0.0300
2455098.8059   -0.0183    0.3162    0.0282
2455099.6794    0.1445    0.3933    0.0283
2455099.8096    0.1688    0.3957    0.0177
2455100.6795    0.3309    0.4961    0.0188
2455100.8047    0.3542    0.5408    0.0110
2455101.8007   -0.4602    0.6152    0.0068
2455102.6695   -0.2983    0.6399    0.0111
2455102.7984   -0.2743    0.6272    0.0052
2455106.7862    0.4689    0.5972    0.0116
2455131.7557    0.1220    0.3726    0.0261
2455133.7725    0.4978    0.6057    0.0094
2455134.7808   -0.3143    0.6630    0.0104
2455135.7809   -0.1279    0.4214    0.0131
2455136.7800    0.0583    0.3263    0.0237
2455143.7565    0.3583    0.5265    0.0077
2455144.7449   -0.4575    0.6064    0.0024
2455145.7535   -0.2695    0.6619    0.0052
2455146.7378   -0.0861    0.3430    0.0261
2455151.7212   -0.1574    0.4719    0.0093
2455468.8623   -0.0578    0.2636    0.0332
2455469.8522    0.1267    0.3709    0.0277
2455470.8506    0.3128    0.4550    0.0090
2455471.8476    0.4986    0.5523    0.0085
2455476.8326    0.4275    0.5565    0.0078
2455477.8315   -0.3863    0.6369    0.0067
2455478.8288   -0.2005    0.5306    0.0030
2455479.8258   -0.0147    0.2990    0.0374
2455480.8222    0.1710    0.3776    0.0215
2455481.8204    0.3570    0.5003    0.0195
2455482.8165   -0.4574    0.6105    0.0096
2455488.8033   -0.3417    0.6661    0.0053
2455492.8069    0.4044    0.5646    0.0185
2455493.7959   -0.4113    0.6438    0.0093
2455495.7962   -0.0386    0.3188    0.0224
2455498.7911   -0.4805    0.5898    0.0089
2455499.7872   -0.2949    0.6147    0.0060
2455502.7734    0.2616    0.4184    0.0107
2455503.7702    0.4474    0.5650    0.0081
2455504.7687   -0.3666    0.6450    0.0064
2455506.7628    0.0051    0.3137    0.0261
2455508.7574    0.3767    0.4885    0.0094
2455510.7521   -0.2515    0.6259    0.0038
2455511.7497   -0.0656    0.3313    0.0237
2455512.7461    0.1200    0.3340    0.0193
2455513.7464    0.3065    0.4628    0.0073
2455515.7437   -0.3213    0.6444    0.0078
2455516.7379   -0.1361    0.3991    0.0162
2455532.6060   -0.1790    0.5079    0.0084
2455532.6851   -0.1643    0.4582    0.0140
2455533.5938    0.0050    0.3076    0.0636
2455862.6716    0.3291    0.5273    0.0073
2455865.6121   -0.1229    0.4116    0.0161
2455866.5960    0.0604    0.3642    0.0151
2455867.5953    0.2467    0.4690    0.0202
2455868.5949    0.4329    0.5862    0.0089
2455881.5649   -0.1501    0.4587    0.0050
2455881.5798   -0.1473    0.4551    0.0141
2455881.5946   -0.1445    0.4413    0.0064
2455881.6095   -0.1418    0.4362    0.0135
2455881.6244   -0.1390    0.4287    0.0077
2455881.6393   -0.1362    0.4173    0.0093
2455881.6539   -0.1335    0.4129    0.0020
2455881.6685   -0.1308    0.4136    0.0092
2455881.6832   -0.1280    0.4107    0.0057
2455881.6978   -0.1253    0.4064    0.0085
2455881.7125   -0.1226    0.3926    0.0164
2455881.7272   -0.1198    0.3862    0.0083
2455882.7385    0.0686    0.3482    0.0101
2455888.7206    0.1834    0.4150    0.0201
2455892.6967   -0.0757    0.3329    0.0126
2455893.7072    0.1127    0.3696    0.0104
2455900.6873    0.4134    0.5663    0.0066
2455911.6608    0.4583    0.5911    0.0063
2455912.6201   -0.3629    0.6577    0.0056
2455919.5647   -0.0688    0.3442    0.0165
2455919.5793   -0.0660    0.3317    0.0183
2455919.5944   -0.0632    0.3344    0.0118
2455919.6066   -0.0610    0.3326    0.0126
2455919.6213   -0.0582    0.3053    0.0177
2455922.6358   -0.4965    0.5951    0.0057
2455926.6210    0.2462    0.4516    0.0113
2455927.6222    0.4328    0.5737    0.0143
2455931.6089    0.1757    0.3997    0.0097
