# data extracted manually from
# Engle et al. 2014, ApJ, 794, 80
# https://ui.adsabs.harvard.edu/abs/2014ApJ...794...80E
         HJD     phase       V-R       err
2454623.9116    0.4846    0.8475    0.0133
2454624.9074   -0.3299    0.8906    0.0133
2454625.9097   -0.1431    0.8115    0.0306
2454626.9008    0.0416    0.6316    0.1148
2454628.8955    0.4133    0.8242    0.0368
2454630.8917   -0.2147    0.8686    0.0130
2454631.8928   -0.0281    0.6187    0.0376
2454634.8827   -0.4710    0.8436    0.0104
2454636.8755   -0.0996    0.7132    0.0159
2454637.9467    0.1000    0.6852    0.0240
2454638.8722    0.2725    0.7897    0.0339
2454640.8665   -0.3559    0.8592    0.0332
2455098.6397   -0.0492    0.6392    0.0147
2455098.8062   -0.0182    0.6168    0.0112
2455099.6797    0.1446    0.7060    0.0267
2455099.8099    0.1688    0.7150    0.0091
2455100.6798    0.3309    0.7976    0.0147
2455100.8050    0.3543    0.7972    0.0098
2455101.8010   -0.4601    0.8341    0.0063
2455102.6711   -0.2980    0.8716    0.0120
2455102.7988   -0.2742    0.8655    0.0043
2455106.7865    0.4689    0.8297    0.0105
2455131.7560    0.1220    0.6839    0.0093
2455133.7728    0.4979    0.8295    0.0112
2455134.7811   -0.3142    0.8777    0.0105
2455135.7812   -0.1279    0.7493    0.0051
2455136.7803    0.0583    0.6346    0.0162
2455143.7568    0.3584    0.7916    0.0094
2455144.7440   -0.4576    0.8426    0.0040
2455145.7525   -0.2697    0.8528    0.0057
2455146.7368   -0.0863    0.6751    0.0133
2455151.7215   -0.1574    0.7938    0.0089
2455468.8626   -0.0577    0.6324    0.0083
2455469.8525    0.1268    0.6848    0.0109
2455470.8497    0.3126    0.7778    0.0119
2455471.8479    0.4986    0.8250    0.0085
2455476.8329    0.4276    0.8102    0.0108
2455477.8318   -0.3863    0.8584    0.0070
2455478.8279   -0.2007    0.8286    0.0038
2455479.8261   -0.0146    0.6120    0.0090
2455480.8225    0.1710    0.7142    0.0151
2455481.8207    0.3571    0.7908    0.0090
2455482.8168   -0.4573    0.8476    0.0022
2455488.8023   -0.3419    0.8648    0.0057
2455492.8072    0.4044    0.8116    0.0069
2455493.7962   -0.4113    0.8532    0.0073
2455495.7965   -0.0385    0.6257    0.0089
2455498.7914   -0.4804    0.8334    0.0042
2455499.7862   -0.2950    0.8576    0.0082
2455501.7760    0.0758    0.6490    0.0141
2455502.7737    0.2617    0.7618    0.0091
2455503.7705    0.4474    0.8195    0.0057
2455504.7678   -0.3667    0.8593    0.0076
2455506.7644    0.0054    0.6110    0.0125
2455508.7577    0.3768    0.8131    0.0051
2455510.7524   -0.2515    0.8705    0.0049
2455511.7500   -0.0656    0.6559    0.0093
2455512.7464    0.1201    0.6888    0.0080
2455513.7467    0.3065    0.7853    0.0058
2455515.7440   -0.3213    0.8583    0.0084
2455516.7383   -0.1360    0.7643    0.0068
2455532.6063   -0.1790    0.8205    0.0040
2455532.6854   -0.1642    0.8072    0.0039
2455533.5941    0.0051    0.6192    0.0055
2455862.6718    0.3292    0.7970    0.0059
2455865.6113   -0.1231    0.7487    0.0054
2455866.5963    0.0605    0.6474    0.0064
2455867.5955    0.2467    0.7607    0.0056
2455868.5951    0.4330    0.8311    0.0035
2455881.5652   -0.1500    0.7904    0.0045
2455881.5800   -0.1473    0.7815    0.0030
2455881.5949   -0.1445    0.7834    0.0067
2455881.6098   -0.1417    0.7768    0.0053
2455881.6246   -0.1390    0.7713    0.0041
2455881.6396   -0.1362    0.7630    0.0063
2455881.6542   -0.1334    0.7657    0.0067
2455881.6688   -0.1307    0.7597    0.0032
2455881.6834   -0.1280    0.7515    0.0079
2455881.6981   -0.1253    0.7551    0.0035
2455881.7128   -0.1225    0.7531    0.0084
2455881.7274   -0.1198    0.7378    0.0052
2455882.7387    0.0687    0.6529    0.0120
2455888.7209    0.1835    0.7202    0.0049
2455892.6969   -0.0756    0.6567    0.0080
2455893.7074    0.1127    0.6821    0.0075
2455900.6875    0.4134    0.8189    0.0075
2455911.6610    0.4584    0.8345    0.0057
2455912.6203   -0.3629    0.8583    0.0074
2455919.5649   -0.0687    0.6601    0.0076
2455919.5806   -0.0658    0.6615    0.0101
2455919.5947   -0.0632    0.6539    0.0117
2455919.6069   -0.0609    0.6510    0.0114
2455919.6215   -0.0582    0.6572    0.0092
2455922.6360   -0.4964    0.8478    0.0065
2455926.6212    0.2462    0.7505    0.0086
2455927.6224    0.4328    0.8066    0.0098
2455931.6091    0.1757    0.7170    0.0067
