# data extracted manually from
# Engle et al. 2014, ApJ, 794, 80
# https://ui.adsabs.harvard.edu/abs/2014ApJ...794...80E
         HJD     phase        V       err
2454437.5956   -0.2357   4.3136    0.0026
2454439.5928    0.1365   3.6690    0.0056
2454440.5858    0.3215   3.9369    0.0015
2454447.5794   -0.3752   4.2614    0.0029
2454449.5797   -0.0024   3.4627    0.0206
2454450.5797    0.1839   3.7435    0.0051
2454452.6001   -0.4396   4.1927    0.0008
2454454.5902   -0.0687   3.6357    0.0080
2454458.6295   -0.3160   4.3210    0.0038
2454459.6007   -0.1350   4.0087    0.0061
2454460.6012    0.0514   3.5319    0.0044
2454465.5856   -0.0197   3.4726    0.0097
2454466.5860    0.1667   3.7179    0.0030
2454623.9115    0.4845   4.0934    0.0069
2454624.9073   -0.3299   4.2869    0.0101
2454625.9096   -0.1431   4.0377    0.0132
2454626.9007    0.0416   3.5028    0.0736
2454628.8954    0.4133   4.0524    0.0255
2454630.8915   -0.2147   4.2666    0.0064
2454631.8927   -0.0282   3.4735    0.0338
2454634.8826   -0.4710   4.1342    0.0059
2454636.8754   -0.0996   3.8125    0.0075
2454637.9466    0.1000   3.5949    0.0221
2454638.8721    0.2725   3.8548    0.0283
2454640.8664   -0.3559   4.2744    0.0198
2455098.6395   -0.0493   3.5439    0.0031
2455098.8061   -0.0182   3.4698    0.0098
2455099.6796    0.1445   3.6712    0.0174
2455099.8098    0.1688   3.7231    0.0083
2455100.6797    0.3309   3.9503    0.0098
2455100.8049    0.3542   3.9894    0.0057
2455101.8009   -0.4601   4.1662    0.0051
2455102.6697   -0.2982   4.3076    0.0037
2455102.7986   -0.2742   4.3196    0.0036
2455106.7864    0.4689   4.0959    0.0071
2455131.7559    0.1220   3.6400    0.0047
2455133.7727    0.4978   4.1171    0.0079
2455134.7810   -0.3143   4.3066    0.0058
2455135.7811   -0.1279   3.9710    0.0016
2455136.7802    0.0583   3.5396    0.0107
2455143.7567    0.3584   3.9866    0.0033
2455144.7438   -0.4577   4.1803    0.0026
2455145.7524   -0.2697   4.3230    0.0037
2455146.7367   -0.0863   3.7385    0.0118
2455151.7214   -0.1574   4.1278    0.0068
2455468.8625   -0.0577   3.5880    0.0058
2455469.8524    0.1267   3.6395    0.0091
2455470.8496    0.3126   3.9216    0.0090
2455471.8477    0.4986   4.1325    0.0074
2455476.8328    0.4275   4.0543    0.0066
2455477.8317   -0.3863   4.2534    0.0037
2455478.8278   -0.2007   4.2579    0.0035
2455479.8259   -0.0147   3.4598    0.0058
2455480.8224    0.1710   3.7180    0.0116
2455481.8206    0.3570   3.9785    0.0029
2455482.8167   -0.4573   4.1735    0.0006
2455488.8022   -0.3419   4.2813    0.0050
2455492.8071    0.4044   4.0341    0.0058
2455493.7961   -0.4113   4.2234    0.0036
2455495.7963   -0.0386   3.5080    0.0040
2455498.7913   -0.4805   4.1397    0.0038
2455499.7861   -0.2951   4.3109    0.0060
2455501.7758    0.0757   3.5584    0.0083
2455502.7736    0.2617   3.8492    0.0084
2455503.7704    0.4474   4.0703    0.0041
2455504.7676   -0.3668   4.2629    0.0068
2455506.7656    0.0056   3.4644    0.0101
2455508.7576    0.3768   4.0027    0.0015
2455510.7523   -0.2515   4.3192    0.0031
2455511.7498   -0.0656   3.6148    0.0078
2455512.7463    0.1201   3.6349    0.0040
2455513.7465    0.3065   3.9130    0.0042
2455515.7439   -0.3213   4.2962    0.0067
2455516.7381   -0.1360   4.0154    0.0058
2455532.6062   -0.1790   4.1985    0.0037
2455532.6853   -0.1643   4.1480    0.0034
2455533.5940    0.0051   3.4631    0.0044
2455862.6718    0.3292   3.9454    0.0048
2455865.6113   -0.1231   3.9479    0.0047
2455866.5962    0.0605   3.5297    0.0046
2455867.5955    0.2467   3.8237    0.0048
2455868.5950    0.4330   4.0575    0.0014
2455881.5651   -0.1500   4.0841    0.0023
2455881.5800   -0.1473   4.0662    0.0026
2455881.5948   -0.1445   4.0545    0.0033
2455881.6097   -0.1417   4.0402    0.0042
2455881.6246   -0.1390   4.0255    0.0036
2455881.6395   -0.1362   4.0084    0.0047
2455881.6541   -0.1335   3.9959    0.0056
2455881.6687   -0.1307   3.9808    0.0021
2455881.6833   -0.1280   3.9622    0.0076
2455881.6980   -0.1253   3.9496    0.0025
2455881.7127   -0.1225   3.9351    0.0048
2455881.7274   -0.1198   3.9171    0.0030
2455882.7387    0.0687   3.5467    0.0059
2455888.7209    0.1834   3.7327    0.0025
2455892.6969   -0.0756   3.6782    0.0051
2455893.7074    0.1127   3.6233    0.0062
2455900.6875    0.4134   4.0396    0.0048
2455911.6610    0.4584   4.0806    0.0023
2455912.6203   -0.3629   4.2621    0.0061
2455919.5649   -0.0687   3.6346    0.0062
2455919.5816   -0.0656   3.6206    0.0063
2455919.5946   -0.0632   3.6030    0.0111
2455919.6068   -0.0609   3.5938    0.0103
2455919.6215   -0.0582   3.5778    0.0056
2455922.6360   -0.4964   4.1270    0.0054
2455926.6211    0.2462   3.8209    0.0048
2455927.6223    0.4328   4.0375    0.0060
2455931.6091    0.1757   3.7166    0.0021
