# Table 4 (with some TeX removed) of
# Engle et al. 2014, ApJ, 794, 80
# https://ui.adsabs.harvard.edu/abs/2014ApJ...794...80E
         HJD &   phase &      V &     err &          HJD &   phase &     U_B &     err &          HJD &   phase &     B_V &     err &          HJD &   phase &     V_R &     err &          HJD &   phase &     R_I &     err
2454437.5956 & -0.2357 & 4.3136 &  0.0026 & 2454437.5926 & -0.2362 &  0.6518 &  0.0060 & 2454437.5941 & -0.2360 &  0.8588 &  0.0062 & 2454623.9116 &  0.4846 &  0.8475 &  0.0133 & 2454623.9118 &  0.4846 &  0.4449 &  0.0182
2454439.5928 &  0.1365 & 3.6690 &  0.0056 & 2454439.5941 &  0.1367 &  0.3887 &  0.0216 & 2454439.5928 &  0.1365 &  0.5839 &  0.0104 & 2454624.9074 & -0.3299 &  0.8906 &  0.0133 & 2454624.9076 & -0.3298 &  0.4568 &  0.0213
2454440.5858 &  0.3215 & 3.9369 &  0.0015 & 2454440.5856 &  0.3215 &  0.5173 &  0.0081 & 2454440.5857 &  0.3215 &  0.7411 &  0.0058 & 2454625.9097 & -0.1431 &  0.8115 &  0.0306 & 2454625.9099 & -0.1431 &  0.3999 &  0.0298
2454447.5794 & -0.3752 & 4.2614 &  0.0029 & 2454447.5806 & -0.3750 &  0.6512 &  0.0043 & 2454447.5793 & -0.3752 &  0.8752 &  0.0035 & 2454626.9008 &  0.0416 &  0.6316 &  0.1148 & 2454626.9010 &  0.0416 &  0.3114 &  0.1183
2454449.5797 & -0.0024 & 3.4627 &  0.0206 & 2454449.5795 & -0.0025 &  0.3408 &  0.0429 & 2454449.5797 & -0.0024 &  0.4522 &  0.0270 & 2454628.8955 &  0.4133 &  0.8242 &  0.0368 & 2454628.8957 &  0.4134 &  0.4223 &  0.0388
2454450.5797 &  0.1839 & 3.7435 &  0.0051 & 2454450.5795 &  0.1839 &  0.4299 &  0.0150 & 2454450.5797 &  0.1839 &  0.6358 &  0.0064 & 2454630.8917 & -0.2147 &  0.8686 &  0.0130 & 2454630.8919 & -0.2147 &  0.4471 &  0.0157
2454452.6001 & -0.4396 & 4.1927 &  0.0008 & 2454452.6000 & -0.4396 &  0.6393 &  0.0033 & 2454452.6001 & -0.4396 &  0.8575 &  0.0028 & 2454631.8928 & -0.0281 &  0.6187 &  0.0376 & 2454631.8930 & -0.0281 &  0.3017 &  0.0322
2454454.5902 & -0.0687 & 3.6357 &  0.0080 & 2454454.5914 & -0.0685 &  0.3344 &  0.0223 & 2454454.5901 & -0.0687 &  0.5130 &  0.0192 & 2454634.8827 & -0.4710 &  0.8436 &  0.0104 & 2454634.8829 & -0.4709 &  0.4573 &  0.0132
2454458.6295 & -0.3160 & 4.3210 &  0.0038 & 2454458.6293 & -0.3160 &  0.6698 &  0.0066 & 2454458.6294 & -0.3160 &  0.8739 &  0.0075 & 2454636.8755 & -0.0996 &  0.7132 &  0.0159 & 2454636.8757 & -0.0996 &  0.3449 &  0.0187
2454459.6007 & -0.1350 & 4.0087 &  0.0061 & 2454459.6005 & -0.1350 &  0.4212 &  0.0188 & 2454459.6007 & -0.1350 &  0.6829 &  0.0087 & 2454637.9467 &  0.1000 &  0.6852 &  0.0240 & 2454637.9469 &  0.1001 &  0.3425 &  0.0154
2454460.6012 &  0.0514 & 3.5319 &  0.0044 & 2454460.6010 &  0.0514 &  0.3427 &  0.0241 & 2454460.6011 &  0.0514 &  0.4928 &  0.0098 & 2454638.8722 &  0.2725 &  0.7897 &  0.0339 & 2454638.8724 &  0.2725 &  0.4029 &  0.0381
2454465.5856 & -0.0197 & 3.4726 &  0.0097 & 2454465.5854 & -0.0197 &  0.3114 &  0.0393 & 2454465.5855 & -0.0197 &  0.4432 &  0.0161 & 2454640.8665 & -0.3559 &  0.8592 &  0.0332 & 2454640.8667 & -0.3558 &  0.4639 &  0.0394
2454466.5860 &  0.1667 & 3.7179 &  0.0030 & 2454466.5858 &  0.1667 &  0.4135 &  0.0243 & 2454466.5860 &  0.1667 &  0.6152 &  0.0090 & 2455098.6397 & -0.0492 &  0.6392 &  0.0147 & 2455098.6399 & -0.0492 &  0.3083 &  0.0179
2454623.9115 &  0.4845 & 4.0934 &  0.0069 & 2454623.9125 &  0.4847 &  0.5818 &  0.0075 & 2454623.9114 &  0.4845 &  0.8290 &  0.0102 & 2455098.8062 & -0.0182 &  0.6168 &  0.0112 & 2455098.8064 & -0.0182 &  0.2922 &  0.0067
2454624.9073 & -0.3299 & 4.2869 &  0.0101 & 2454624.9096 & -0.3295 &  0.6965 &  0.0045 & 2454624.9072 & -0.3299 &  0.8948 &  0.0110 & 2455099.6797 &  0.1446 &  0.7060 &  0.0267 & 2455099.6799 &  0.1446 &  0.3626 &  0.0325
2454625.9096 & -0.1431 & 4.0377 &  0.0132 & 2454625.9119 & -0.1427 &  0.4678 &  0.0181 & 2454625.9095 & -0.1431 &  0.6995 &  0.0203 & 2455099.8099 &  0.1688 &  0.7150 &  0.0091 & 2455099.8101 &  0.1689 &  0.3659 &  0.0079
2454626.9007 &  0.0416 & 3.5028 &  0.0736 & 2454626.9005 &  0.0415 &  0.3168 &  0.1136 & 2454626.9006 &  0.0416 &  0.4855 &  0.1044 & 2455100.6798 &  0.3309 &  0.7976 &  0.0147 & 2455100.6800 &  0.3310 &  0.4048 &  0.0113
