 Cluster,     DM,   age,   FeH,   EBV, Memb
  Hyades,  3.389,  8.90,  0.13, 0.001,  480
 ComaBer,  4.669,  8.81,  0.00, 0.000,  127
Pleiades,  5.667,  8.04, -0.01, 0.045, 1059
  IC2391,  5.908,  7.70, -0.01, 0.030,  254
  IC2602,  5.914,  7.60, -0.02, 0.031,  391
alphaPer,  6.214,  7.85,  0.14, 0.090,  598
Praesepe,  6.350,  8.85,  0.16, 0.027,  771
 NGC2451,  6.433,  7.78, -0.08, 0.000,  311
 Blanco1,  6.876,  8.06,  0.03, 0.010,  361
 NGC6475,  7.234,  8.54,  0.02, 0.049,  874
 NGC7092,  7.390,  8.54,  0.00, 0.010,  248
 NGC6774,  7.455,  9.30,  0.16, 0.080,  165
 NGC2232,  7.575,  7.70,  0.11, 0.031,  241
 NGC2547,  7.980,  7.60, -0.14, 0.040,  404
 NGC2516,  8.091,  8.48,  0.05, 0.071, 1727
 Trump10,  8.223,  7.78, -0.12, 0.056,  407
 NGC0752,  8.264,  9.15, -0.03, 0.040,  259
 NGC6405,  8.320,  7.90,  0.07, 0.139,  544
  IC4756,  8.401,  8.98,  0.02, 0.128,  515
 NGC3532,  8.430,  8.60,  0.00, 0.022, 1802
 NGC2422,  8.436,  8.11,  0.09, 0.090,  572
 NGC1039,  8.552,  8.40,  0.02, 0.077,  497
 NGC6281,  8.638,  8.48,  0.06, 0.130,  534
 NGC6793,  8.894,  8.78,      , 0.272,  271
 NGC2548,  9.451,  8.74,  0.08, 0.020,  374
 NGC6025,  9.513,  8.18,      , 0.170,  431
 NGC2682,  9.726,  9.54,  0.03, 0.037, 1194
  IC4651,  9.889,  9.30,  0.12, 0.040,  932
 NGC2323, 10.010,  8.30,      , 0.105,  372
 NGC2447, 10.088,  8.74, -0.05, 0.034,  681
 NGC2360, 10.229,  8.98, -0.03, 0.090,  848
 NGC0188, 11.490,  9.74,  0.11, 0.085,  956
 
